시도,구군,기관명,주차장명,유형,주소,위치 정보,전화번호,위도,경도,09-28(목),09-29(금),09-30(토),10-01(일),10-02(월),10-03(화),365일 상시 무료개방 여부
부산광역시,강서구,가덕도동 행정복지센터,가덕도동 행정복지센터,부설,부산광역시 강서구 동선길 10(성북동),청사 입구,051-970-4637,35.05691,128.832319,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,가락동 행정복지센터,가락동 행정복지센터,부설,부산광역시 강서구 가락대로 1476(죽림동),청사 입구,051-970-2954,35.196387,128.901807,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,강동동 행정복지센터,강동동 행정복지센터,부설,부산광역시 강서구 제도로 1171(강동동),청사 입구,051-970-2933,35.214544,128.935449,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,녹산동 행정복지센터,녹산동 행정복지센터,부설,부산광역시 강서구 가락대로 900번가길 32(범방동),청사 입구,051-970-4624,35.15332,128.883741,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,대저1동 행정복지센터,대저1동 행정복지센터,부설,부산광역시 강서구 대저로 221번길 19,청사 입구,051-970-4409,35.215407,128.976747,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,명지1동 행정복지센터,명지1동 행정복지센터,부설,부산광역시 강서구 영강길 19번길 58(명지동),청사 입구,051-970-4651,35.108058,128.92655,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,명지2동 행정복지센터,명지2동 행정복지센터,부설,부산광역시 강서구 명지오션시티 11로 35(명지동),청사 입구,051-970-2990,35.084543,128.900048,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,부산시 강서구청,강서브라이트센터제2부설,부설,부산광역시 강서구 공항로 811번가길 30-1(대저2동),대저2동행정복지센터 청사 입구,051-970-4151,35.178649,128.956676,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,강서 브라이트센터,부설,부산광역시 강서구 공항로 811번길 10(대저2동),"지하주차장, 청사 입구",051-970-4151,35.180181,128.957009,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,강서구청,부설,부산광역시 강서구 낙동북로 477(대저1동),청사 내,051-970-4151,35.212938,128.980565,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,강서구청역 역세권 주차장,노외,부산광역시 강서구 대저1동 2287번지,공영주차장,051-970-4562,35.212124,128.979559,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,부산시 강서구청,대항공영주차장,노외,부산광역시 강서구 대항동 산13-26,공영주차장,051-970-4562,35.01185,128.830059,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,부산시 강서구청,외양포 전망대 주차장,노외,부산광역시 강서구 대항동 산13-29번지 일원,외양포 전망대 입구,051-970-4562,35.006998,128.826679,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
부산광역시,강서구,부산시 강서구청,행복마을 공영주차장,노외,부산광역시 강서구 명지동 3254-7,공영주차장,051-970-4562,35.086691,128.910362,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O
